tau,MSD
0,0.0
1,11.942807616414408
2,23.65853240216947
3,35.464462400662846
4,47.22338049085106
5,59.24935833665957
6,71.31881799216272
7,83.49273555433263
8,96.11377814220887
9,109.37773790980913
10,122.89471793397452
11,136.59040923670807
12,150.39066140244756
13,164.19308362062142
14,178.0320892754571
15,192.27199802814388
16,207.12630285225956
17,222.08127151985124
18,237.3245780842209
19,252.58088698895978
20,267.72055895775475
21,282.97795764583685
22,298.25845818121456
23,314.02644456702143
24,329.94055867291667
25,346.39541152981667
26,362.33222334664083
27,378.4444299238098
28,395.1022323044283
29,412.332445842421
30,429.5764414611593
31,447.12061643391155
32,464.15255892255664
33,481.1383737903489
34,498.4779668279882
35,516.046910621222
36,533.4836735900587
37,551.3943667840006
38,568.9298226960359
39,586.5515995109247
40,604.600557017489
41,622.5671273994025
42,641.3608475782921
43,660.059395404538
44,679.3998939324156
45,699.3415831118565
46,719.3751814549103
47,739.1845175701314
48,758.9503419172465
49,778.9925034357069
50,799.2925039065678
51,819.7474090483669
52,840.7065222092122
53,861.9307879595194
54,883.0743364552703
55,904.2718192666093
56,925.5246613253894
57,947.1491351292144
58,968.7130346122838
59,990.7507592940849
60,1012.8889678333279
61,1035.0659033917752
62,1057.0848714101887
63,1079.3188066066832
64,1102.0121533322513
65,1124.9875571575174
66,1147.7458545702136
67,1170.7509566289227
68,1193.8449363715956
69,1217.329012281689
70,1240.6107385820362
71,1264.012124211235
72,1287.5872565790162
73,1311.2088478658586
74,1334.5236554430317
75,1358.3698487144377
76,1382.0973509029861
77,1405.6648093882325
78,1429.5634081972548
79,1453.2879083333348
80,1477.0899137239282
81,1500.5316527934485
82,1524.0163918267604
83,1547.3498650918586
84,1571.1194041815256
85,1595.7568978491233
86,1620.4667583273072
87,1645.1933663213695
88,1670.051846285455
89,1694.7199575148766
90,1719.6058227976412
91,1744.6622084121614
92,1770.3538785092135
93,1796.7537937691075
94,1823.0528763669213
95,1848.7454852257563
96,1874.649253801505
97,1900.7035718087557
98,1926.7460469135158
99,1952.987858671903
100,1979.3921880972816
101,2005.6618184775036
102,2031.3633374791941
103,2057.370287903239
104,2083.4066589920153
105,2109.880725848923
106,2136.039647144239
107,2162.2300445549795
108,2188.5557746979894
109,2214.6780273927056
110,2240.47738557272
111,2266.286571276448
112,2292.2141842425976
113,2318.434037720773
114,2344.983559052296
115,2371.7792258163395
116,2399.38898084112
117,2427.028466226441
118,2455.308563028113
119,2483.84081229345
120,2513.2217018261267
121,2542.938344516643
122,2572.944358112557
123,2602.934463434301
124,2632.8447905293547
125,2662.7492669764915
126,2692.6058009447834
127,2722.731407805721
128,2753.007445358811
129,2783.251286053078
130,2813.5724770228812
131,2844.00002438798
132,2874.8903982191464
133,2906.0635110997205
134,2937.3023181190156
135,2968.4484348125484
136,2999.75449856361
137,3031.0804977913144
138,3062.2580674425803
139,3093.901838434246
140,3125.0740687145208
141,3156.5750350484946
142,3188.167224409575
143,3220.446271602883
144,3253.0141023803103
145,3285.091481884462
146,3317.524320102971
147,3349.8923034994064
148,3382.8016790101433
149,3416.0920049029023
150,3449.0813360365723
151,3481.811281262219
152,3514.8491797388524
153,3547.605270346171
154,3580.587530760567
155,3613.6736256376244
156,3646.9456742131733
157,3679.8763228461667
158,3712.732869629696
159,3745.3307984649687
160,3778.168149118881
161,3811.4630302748924
162,3845.0199817528246
163,3878.4995265232183
164,3912.047423133498
165,3946.3264557988155
166,3980.135971516072
167,4014.076934911906
168,4048.583271405835
169,4082.8290418193446
170,4116.648868297683
171,4150.916570881363
172,4185.051409304276
173,4219.3984873043255
174,4253.76367681113
175,4287.908410421034
176,4322.214456789255
177,4356.635390600576
178,4391.510208410928
179,4426.0194413954605
180,4460.511177378801
181,4494.97262974184
182,4529.520522929541
183,4564.033193722309
184,4598.813425975123
185,4633.135719769622
186,4667.970846765479
187,4703.01363401013
188,4738.42404141571
189,4774.122039006957
190,4809.307059632577
191,4844.737401638277
192,4880.461177790631
193,4916.331579957637
194,4952.123824154451
195,4988.6405416589605
196,5025.542583334831
197,5062.522925768569
198,5099.157661406142
199,5136.200786965941
